codigo_acao,codigo_elemento_despesa,codigo_favorecido,codigo_funcao,codigo_grupo_despesa,codigo_orgao,codigo_orgao_superior,codigo_programa,codigo_subfuncao,codigo_unidade_gestora,data_pagamento,data_pagamento_original,gestao_pagamento,linguagem_cidada,nome_acao,nome_elemento_despesa,nome_favorecido,nome_funcao,nome_grupo_despesa,nome_orgao,nome_orgao_superior,nome_programa,nome_subfuncao,nome_unidade_gestora,numero_documento,valor,ano,mes
2012,46,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,331,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Auxílio-Alimentação,"Auxílio-Alimentação aos Servidores Civis, Empregados e Militares",Auxílio-Alimentação,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Proteção e Benefícios ao Trabalhador,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",462136.28,2014,7
2684,47,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Obrigações Tributárias e Contributivas,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",841.07,2014,7
2011,49,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,331,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Auxílio-Transporte,"Auxílio-Transporte aos Servidores Civis, Empregados e Militares",Auxílio-Transporte,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Proteção e Benefícios ao Trabalhador,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",17095.33,2014,7
2684,92,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Despesas de Exercícios Anteriores,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",71.98,2014,7
2004,92,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,301,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Assistência Médica e Odontológica,"Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes",Despesas de Exercícios Anteriores,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Atenção Básica,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",1879.94,2014,7
7U23,93,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2070,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Implementação do Plano Nacional de Segurança Pública para a Realização dos Grandes Eventos,Indenizações e Restituições,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Segurança Pública com Cidadania,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",655.03,2014,7
2684,93,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Indenizações e Restituições,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",85143.34,2014,7
2004,93,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,3,20118,20000,2101,301,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Assistência Médica e Odontológica,"Assistência Médica e Odontológica aos Servidores Civis, Empregados, Militares e seus Dependentes",Indenizações e Restituições,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Outras Despesas Correntes,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Atenção Básica,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",306701.93,2014,7
2684,52,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",6,4,20118,20000,2101,183,110120,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Inteligência,Equipamentos e Material Permanente,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Segurança Pública,Investimentos,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN,PRESIDENCIA DA REPUBLICA,Programa de Gestão e Manutenção da Presidência da República,Informação e Inteligência,AGENCIA BRASILEIRA DE INTELIGENCIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",229038.24,2014,7
0536,91,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",9,3,64101,20000,909,274,200016,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Pensões Decorrentes de Legislação Especial e/ou Decisões Judiciais,Sentenças Judiciais,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Previdência Social,Outras Despesas Correntes,SECRETARIA DE DIREITOS HUMANOS - SDH/PR,PRESIDENCIA DA REPUBLICA,Operações Especiais: Outros Encargos Especiais,Previdência Especial,SECRETARIA DE DIREITOS HUMANOS/PR,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",724.00,2014,7
0734,91,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",14,3,64101,20000,1401,845,200016,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Pagamento de Indenização a Vítimas de Violação das Obrigações Contraídas pela União por Meio da Adesão a Tratados Internacionais de Proteção dos Direitos Humanos,Sentenças Judiciais,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Direitos da Cidadania,Outras Despesas Correntes,SECRETARIA DE DIREITOS HUMANOS - SDH/PR,PRESIDENCIA DA REPUBLICA,Reparação de Violações e Defesa dos Direitos Humanos,Outras Transferências,SECRETARIA DE DIREITOS HUMANOS/PR,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",106665.60,2014,7
2000,33,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",4,3,25103,25000,2110,122,170339,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração de unidade,Administração da Unidade,Passagens e Despesas com Locomoção,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração,Outras Despesas Correntes,RECEITA FEDERAL DO BRASIL,MINISTERIO DA FAZENDA,Programa de Gestão e Manutenção do Ministério da Fazenda,Administração Geral,COORDENACAO-GERAL DE PESQ.INVESTIGACAO DA RFB,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",4239.24,2014,7
